
20181203  AL | nATRExit: 4.5 | nPeriodBreak: 70 | nATR: 15

20090218  AL ：开多 | Bar序号：1
20120216  J ：开多 | Bar序号：195

20120306  J ：平多 | Bar序号：208

20120308  J ：开多 | Bar序号：210

20120315  J ：平多开空 | Bar序号：215

20120322  J ：平空 | Bar序号：220

20120410  J ：开多 | Bar序号：230

20120417  J ：平多开空 | Bar序号：235

20120703  J ：平空 | Bar序号：287

20120706  J ：开多 | Bar序号：290

20120717  J ：平多 | Bar序号：297

20120723  J ：开多 | Bar序号：301

20120726  J ：平多开空 | Bar序号：304

20120910  J ：平空 | Bar序号：336

20121010  J ：开多 | Bar序号：353

20121024  J ：平多 | Bar序号：363

20121030  J ：开多 | Bar序号：367

20121129  J ：平多 | Bar序号：389

20121130  J ：开空 | Bar序号：390

20121204  J ：平空 | Bar序号：392

20121210  J ：开空 | Bar序号：396

20121217  J ：平空开多 | Bar序号：401

20130114  J ：平多 | Bar序号：418

20130121  J ：开多 | Bar序号：423

20130219  J ：平多 | Bar序号：439

20130221  J ：开空 | Bar序号：441

20130301  J ：平空 | Bar序号：447

20130305  J ：开空 | Bar序号：449

20130409  J ：平空 | Bar序号：472

20130416  J ：开空 | Bar序号：477

20130509  J ：平空 | Bar序号：491

20130514  J ：开空 | Bar序号：494

20130523  J ：平空 | Bar序号：501

20130530  J ：开多 | Bar序号：506

20130607  J ：平多开空 | Bar序号：512

20130722  J ：平空开多 | Bar序号：540

20130730  J ：平多 | Bar序号：546

20130805  J ：开空 | Bar序号：550

20130809  J ：平空开多 | Bar序号：554

20130829  J ：平多 | Bar序号：568

20130916  J ：开空 | Bar序号：580

20131015  J ：平空 | Bar序号：594

20131025  J ：开多 | Bar序号：602

20131107  J ：平多开空 | Bar序号：611

20131120  J ：平空 | Bar序号：620

20131127  J ：开空 | Bar序号：625

20140218  J ：平空 | Bar序号：678

20140225  J ：开多 | Bar序号：683

20140305  J ：平多开空 | Bar序号：689

20140326  J ：平空 | Bar序号：704

20140404  J ：开多 | Bar序号：711

20140421  J ：平多开多 | Bar序号：721

20140505  J ：平多开空 | Bar序号：729

20140513  J ：平空 | Bar序号：735

20140519  J ：开多 | Bar序号：739

20140604  J ：平多 | Bar序号：750

20140613  J ：开多 | Bar序号：757

20140701  J ：平多开空 | Bar序号：769

20140808  J ：平空 | Bar序号：796

20140815  J ：开空 | Bar序号：801

20140826  J ：平空 | Bar序号：808

20140909  J ：开多 | Bar序号：817

