
20170921  沪铝1711 | nATRExit: 3.8 | nPeriodBreak: 17 | nATR: 15

20090218  沪铝1711 ：开多 | Bar序号：1
20110315  棉花1801 ：开空 | Bar序号：1246

20110808  塑料1801 ：平多开空 | Bar序号：631

20110607  棉花1801 ：平空开多 | Bar序号：1302

20111031  塑料1801 ：平空开多 | Bar序号：685

20110615  棉花1801 ：平多开空 | Bar序号：1308

20111122  塑料1801 ：平多开空 | Bar序号：701

20120110  塑料1801 ：平空开多 | Bar序号：734


20110921  棉花1801 ：平多开空 | Bar序号：1377

20120330  塑料1801 ：平多开空 | Bar序号：787

20111202  棉花1801 ：平空开多 | Bar序号：1424

20120702  塑料1801 ：平空开多 | Bar序号：847

20120215  棉花1801 ：平多 | Bar序号：1470

20120725  塑料1801 ：平多开空 | Bar序号：864

20120217  棉花1801 ：开空 | Bar序号：1472

20120820  塑料1801 ：平空开多 | Bar序号：882

20120306  棉花1801 ：平空 | Bar序号：1484

20121009  塑料1801 ：平多开空 | Bar序号：913

20120315  棉花1801 ：开空 | Bar序号：1491

20121204  塑料1801 ：平空开多 | Bar序号：953

20120619  棉花1801 ：平空 | Bar序号：1554

20130222  塑料1801 ：平多 | Bar序号：1003

20120621  棉花1801 ：开多 | Bar序号：1556

20130227  塑料1801 ：开空 | Bar序号：1006

20120727  棉花1801 ：平多开空 | Bar序号：1581

20120808  棉花1801 ：平空 | Bar序号：1589

20130513  塑料1801 ：平空开多 | Bar序号：1054

20120813  棉花1801 ：开多 | Bar序号：1592

20120925  棉花1801 ：平多 | Bar序号：1623
22

20130829  塑料1801 ：平空开多 | Bar序号：1129

20120927  棉花1801 ：开空 | Bar序号：1625

20121019  棉花1801 ：平空开多 | Bar序号：1636

20131219  塑料1801 ：平多开空 | Bar序号：1202

20121105  棉花1801 ：平多开空 | Bar序号：1647

20121218  棉花1801 ：平空开多 | Bar序号：1678

20140226  塑料1801 ：平空 | Bar序号：1245

20121231  棉花1801 ：平多开空 | Bar序号：1687

20140311  塑料1801 ：开空 | Bar序号：1254

20130110  棉花1801 ：平空 | Bar序号：1692

20140325  塑料1801 ：平空开多 | Bar序号：1264

20130114  棉花1801 ：开多 | Bar序号：1694

20140721  塑料1801 ：平多开空 | Bar序号：1343

20130207  棉花1801 ：平多 | Bar序号：1712

20130227  棉花1801 ：开空 | Bar序号：1721

20130311  棉花1801 ：平空开多 | Bar序号：1729

20150511  塑料1801 ：平多 | Bar序号：1538
57

20130510  棉花1801 ：平空 | Bar序号：1768

20150512  塑料1801 ：开空 | Bar序号：1539

20130513  棉花1801 ：开多 | Bar序号：1769

20130618  棉花1801 ：平多 | Bar序号：1792
72

20150708  塑料1801 ：平多开空 | Bar序号：1579

20130710  棉花1801 ：开空 | Bar序号：1808

20150713  塑料1801 ：平空 | Bar序号：1582

20130725  棉花1801 ：平空 | Bar序号：1819

20150728  塑料1801 ：开空 | Bar序号：1592

20130730  棉花1801 ：开空 | Bar序号：1822

20130806  棉花1801 ：平空开多 | Bar序号：1827

20151127  塑料1801 ：平空开多 | Bar序号：1672

20130823  棉花1801 ：平多开空 | Bar序号：1840

20130827  棉花1801 ：平空 | Bar序号：1842

20160510  塑料1801 ：平多开空 | Bar序号：1781

20131008  棉花1801 ：开多 | Bar序号：1865

20160617  塑料1801 ：平空开多 | Bar序号：1805

20131024  棉花1801 ：平多开空 | Bar序号：1877

20160727  塑料1801 ：平多开空 | Bar序号：1833

20131202  棉花1801 ：平空 | Bar序号：1904

20160802  塑料1801 ：平空开多 | Bar序号：1837

20131203  棉花1801 ：开多 | Bar序号：1905

20161121  塑料1801 ：平多开空 | Bar序号：1909

20140227  棉花1801 ：平多开空 | Bar序号：1961

20161209  塑料1801 ：平空开多 | Bar序号：1923

20140305  棉花1801 ：平空 | Bar序号：1965

20170109  塑料1801 ：平多开空 | Bar序号：1943

20140326  棉花1801 ：开空 | Bar序号：1980

20170124  塑料1801 ：平空开多 | Bar序号：1954

20140409  棉花1801 ：平空 | Bar序号：1989

20170217  塑料1801 ：平多开空 | Bar序号：1967

20140416  棉花1801 ：开多 | Bar序号：1994

20170519  塑料1801 ：平空开多 | Bar序号：2029

20140513  棉花1801 ：平多开空 | Bar序号：2011

20170616  塑料1801 ：平多开空 | Bar序号：2047

20140617  棉花1801 ：平空 | Bar序号：2035

20170719  塑料1801 ：平空开多 | Bar序号：2070

20140627  棉花1801 ：开空 | Bar序号：2043

20170915  塑料1801 ：平多开空 | Bar序号：2112

20140805  棉花1801 ：平空 | Bar序号：2070

20140806  棉花1801 ：开多 | Bar序号：2071

20140819  棉花1801 ：平多 | Bar序号：2080

20140825  棉花1801 ：开空 | Bar序号：2084

20140930  棉花1801 ：平空 | Bar序号：2109

20141015  棉花1801 ：开多 | Bar序号：2115

20141117  棉花1801 ：平多开空 | Bar序号：2138

20141128  棉花1801 ：平空 | Bar序号：2147

20141205  棉花1801 ：开多 | Bar序号：2152

20150114  棉花1801 ：平多 | Bar序号：2178

