2018/4/13,AL1806,开多,4
2018/4/13,RB1810,开多,11
,,,
2018/4/13,AL1806,平空,NaN
2018/4/13,AL1806,开多,4
2018/4/13,RB1810,开多,11
,,,
2018/4/17,MA1809,开多,31
,,,
2018/4/18,TA1809,平空,NaN
2018/4/18,CU1806,平空,NaN
2018/4/18,CU1806,开多,2
,,,
2018/4/19,RU1809,平空,NaN
,,,
2018/4/20,IF1804,(换合约),NaN
2018/4/20,IF1805,(换合约),NaN
,,,
2018/4/24,TA1809,开多,35
2018/4/24,AL1806,平多,NaN
2018/4/24,Y1809,平多,NaN
2018/4/24,Y1809,开空,12
,,,
2018/5/2,AU1806,平多,NaN
,,,
2018/5/3,L1809,平空,NaN
2018/5/3,L1809,开多,13
2018/5/3,CF1809,平空,NaN
2018/5/3,CF1809,开多,19
,,,
2018/5/7,AU1806,(换合约),NaN
2018/5/7,AU1812,(换合约),NaN
,,,
2018/5/8,zn1806,(换合约),NaN
2018/5/8,zn1807,(换合约),NaN
,,,
2018/5/8,ag1806,(换合约),NaN
2018/5/8,ag1812,(换合约),NaN
,,,
2018/5/8,cu1806,(换合约),NaN
2018/5/8,cu1807,(换合约),NaN
,,,
2018/5/8,M1809,平多,NaN
,,,
2018/5/8,M1809,平多,NaN
,,,
2018/5/9,AL1806,(换合约),NaN
2018/5/9,AL1807,(换合约),NaN
,,,
2018/5/10,P1809,平空,NaN
2018/5/10,P1809,开多,17
,,,
2018/5/11,J1809,开多,2
,,,
2018/5/14,SR1809,平空,NaN
2018/5/14,IF1805,平空,NaN
2018/5/14,IF1805,开多,0
,,,
2018/5/17,IF1805,(换合约),NaN
2018/5/17,IF1806,(换合约),NaN
,,,
2018/5/21,RU1809,开多,4
,,,
2018/5/22,J1809,平多,NaN
,,,
2018/5/23,RB1810,平多,NaN
2018/5/23,RB1810,开空,18
,,,
2018/5/24,L1809,平多,NaN
2018/5/24,L1809,开空,15
2018/5/24,MA1809,平多,NaN
,,,
2018/5/25,MA1809,开空,35
,,,
2018/5/28,TA1809,平多,NaN
,,,
2018/5/29,IF1806,平多,NaN
2018/5/29,IF1806,开空,0
,,,
2018/5/31,AL1807,开空,6
2018/5/31,ZN1807,平空,NaN
2018/5/31,ZN1807,开多,3
2018/5/31,RB1810,平空,NaN
2018/5/31,RB1810,开多,16
,,,
2018/6/1,MA1809,平空,NaN
2018/6/1,Y1809,平空,NaN
2018/6/1,Y1809,开多,12
2018/6/1,M1809,开多,18
2018/6/1,AU1812,开多,6
,,,
2018/6/5,IF1806,平空,NaN
,,,
2018/6/6,CF1809,平多,NaN
,,,
2018/6/7,CU1807,(换合约),NaN
2018/6/7,CU1808,(换合约),NaN
,,,
2018/6/7,P1809,平多,NaN
2018/6/7,P1809,开空,10
,,,
2018/6/8,CF1809,开空,4
2018/6/8,RU1809,平多,NaN
2018/6/8,RU1809,开空,3
2018/6/8,SR1809,开空,22
2018/6/8,M1809,平多,NaN
,,,
2018/6/8,CF1809,开空,4
2018/6/8,RU1809,平多,NaN
2018/6/8,RU1809,开空,3
2018/6/8,SR1809,开空,22
2018/6/8,M1809,平多,NaN
,,,
2018/6/11,ZN1807,(换合约),NaN
2018/6/11,ZN1808,(换合约),NaN
,,,
2018/6/11,AL1807,(换合约),NaN
2018/6/11,AL1808,(换合约),NaN
,,,
2018/6/11,MA1809,开多,32
,,,
2018/6/12,J1809,开多,2
2018/6/12,Y1809,平多,NaN
